@relation 'epit.train-weka.filters.unsupervised.attribute.Remove-R13,56-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.241ProtFP2.1+0.239KF2.1+0.233T1.1+0.233ST1.1+0.232VHSE3.1... numeric
@attribute -0.294Z1.1+0.258VHSE1.1+0.241MSWHIM2.1-0.236BLOSUM1.1+0.234ProtFP1.1... numeric
@attribute 0.287ProtFP3.1+0.274VHSE4.1+0.239BLOSUM7.1-0.239T3.1+0.236Z4.1... numeric
@attribute 0.292ProtFP6.1-0.248VHSE8.1+0.236BLOSUM6.1-0.232Z3.1-0.231F5.1... numeric
@attribute 0.331ProtFP4.1-0.282KF8.1-0.238BLOSUM8.1-0.231ST3.1-0.227MSWHIM1.1... numeric
@attribute -0.378ProtFP5.1-0.287KF3.1-0.235BLOSUM4.1-0.212KF1.1+0.205Z5.1... numeric
@attribute '-0.453ProtFP7.1+0.314KF6.1+0.29 BLOSUM10.1+0.264BLOSUM9.1+0.257ST7.1...' numeric
@attribute 0.455ProtFP8.1-0.394BLOSUM10.1+0.329BLOSUM9.1+0.317KF10.1-0.274KF6.1... numeric
@attribute -0.466KF10.1+0.319ProtFP8.1+0.304BLOSUM9.1-0.252ST7.1+0.235MSWHIM2.1... numeric
@attribute '0.373Z5.1-0.317ST4.1-0.264KF7.1-0.264ProtFP8.1+0.26 BLOSUM4.1...' numeric
@attribute -0.348BLOSUM10.1-0.28BLOSUM9.1-0.241ProtFP7.1+0.239T4.1+0.236KF5.1... numeric
@attribute -0.613KF5.1+0.315F1.1-0.273KF10.1+0.265KF7.1-0.211BLOSUM9.1... numeric
@attribute Class {Negative,Positive}

@data
-3.100583,1.856975,-2.74375,0.625162,-0.77358,-4.477128,3.147173,1.056935,-1.129111,-2.570504,0.255648,-0.476392,Negative
1.00299,-2.513676,-0.719496,1.830976,-0.00648,3.314799,-0.492187,1.353885,0.163555,-0.075337,0.210509,-1.066931,Positive
-4.545453,-2.389907,-3.338863,-5.634879,-1.057927,0.18207,-0.719635,2.2888,-0.797071,-0.357598,-0.026884,0.092522,Positive
8.118007,-0.151417,-0.727677,1.762057,-2.395273,2.77758,0.918555,-0.160953,-0.466487,-1.723211,-0.344371,-1.403568,Negative
-2.969435,-0.498327,3.12391,0.331546,-2.916364,-2.347052,0.536519,-1.442845,0.22591,2.443825,0.058635,-0.300104,Positive
5.404216,1.538577,-0.018824,-1.344787,-2.303027,-0.260149,-3.571716,1.480936,0.375777,0.810485,1.589493,-0.654795,Negative
-1.965743,-1.968527,1.156343,0.740913,-1.092701,3.284775,0.222228,0.878836,1.015082,0.232619,0.584871,-0.184335,Negative
2.485035,-1.793367,-0.040098,-0.129527,4.530214,-0.1407,-0.92593,-0.141786,-0.479254,-0.262779,-0.846838,-0.011412,Negative
-0.671708,-2.30654,-2.108698,-2.098436,-4.089547,-3.814948,-1.221704,1.685471,2.440169,-0.032064,-0.303301,-0.413583,Negative
0.014292,1.141374,-3.431207,-0.882185,-0.296843,-4.525563,3.405673,-0.30244,-0.377265,-0.616799,0.202766,-0.82665,Positive
-3.358006,0.540868,1.505273,0.342698,-0.073721,-3.803624,1.643875,-1.033677,-0.940322,-1.245825,2.29373,-0.217578,Negative
0.416572,2.019973,0.246691,1.727493,2.728943,0.966784,0.978187,-1.410593,0.761853,1.070439,1.913072,1.117811,Negative
1.669173,-0.691844,-3.07513,-0.031461,1.738591,-0.9707,0.429867,-1.765069,-1.788297,1.361873,0.226196,0.177873,Negative
-1.712965,3.354134,-0.172917,-1.407925,4.298116,-2.104257,0.317944,1.393903,0.376723,-1.454669,0.725619,-0.565337,Positive
-2.248133,-0.156596,-3.846271,-3.070097,5.183804,-3.709508,-1.336572,0.245877,-0.998615,0.010719,-0.64716,-1.175789,Negative
4.562265,4.121137,3.427706,-1.708366,1.745939,-0.807148,-2.660717,0.896441,-0.979721,-0.17008,-2.054935,-2.948036,Negative
0.483927,-1.373068,-5.850922,-0.790943,0.58624,1.709039,-0.987335,-0.275146,-0.443262,-1.106309,0.567757,0.535175,Negative
-3.354358,-5.416836,4.846331,-2.929622,-3.337094,4.301863,-1.603741,0.12225,-1.144737,-1.195324,-0.447003,0.204164,Negative
5.844424,-0.793131,3.698543,4.21322,-0.281973,-3.379378,-1.745945,-1.918102,0.823135,-0.2367,-0.593148,1.658611,Positive
2.684098,1.751882,4.033118,3.050392,0.659426,-3.278236,-0.800942,0.451309,-0.342897,0.219722,-1.404541,0.708444,Positive
-0.947658,-4.078403,-2.753852,2.020152,1.206845,6.437431,4.11504,1.244016,0.740395,0.756268,-1.018281,1.73085,Positive
